FRAME	XCENTER	YCENTER	BRIGHTNESS	BERR	MSKY	NITER	SHARP	CHI	ERR	
0	334.525	29.963	3854.78357666	0.97543874044	171.4872	4	-0.473	0.840	0	
0	827.981	40.587	1806.34208317	0.963829023624	172.3684	4	0.077	0.634	0	
0	344.514	42.422	10308.6074006	0.978137704323	176.4768	4	-0.613	1.496	0	
0	364.496	43.619	9427.57508527	0.978137704323	186.5612	4	-0.531	1.319	0	
0	368.555	45.911	8226.21393883	0.974540741766	180.3114	4	-0.667	1.402	0	
0	842.248	44.456	3538.34356815	0.978137704323	173.3354	4	-0.375	0.673	0	
0	374.403	53.660	9638.29023624	0.979941161096	183.8106	4	-0.535	1.197	0	
0	1189.142	63.647	7488.58907522	0.98174794302	169.1354	4	0.216	0.995	0	
0	358.753	65.062	2934.94522227	0.949729657362	196.0166	4	-1.318	1.368	0	
0	351.207	69.545	7481.69500511	0.970063133784	190.759	4	-0.903	1.653	0	
0	370.457	73.375	13829.293698	0.977237220956	197.6926	4	-0.615	1.830	0	
0	394.984	74.870	1627.79608639	0.949729657362	179.4489	4	0.338	0.668	0	
0	55.968	74.890	4357.12480503	0.983558056227	170.1611	4	-0.065	0.588	0	
0	25.676	82.277	1618.82536264	0.957634976969	176.2604	4	-0.758	0.691	0	
0	38.087	83.894	8128.30516164	0.986279485631	178.3809	4	0.019	0.787	0	
0	1187.609	90.378	8928.94196065	0.979039017448	173.0339	4	-0.284	1.347	0	
0	423.207	154.687	859.805066661	0.903649473722	194.7921	4	0.769	0.688	0	
0	412.157	164.163	1415.14193293	0.941889596523	191.0273	4	-1.003	0.786	0	
0	29.729	109.756	779.112191113	0.90032643106	175.9334	4	-1.534	0.861	0	
0	836.022	121.610	8363.72991584	0.98446436398	180.0555	4	-0.345	0.897	0	
0	1104.864	136.167	4677.35141287	0.979941161096	173.7158	4	0.032	0.754	0	
0	73.924	141.342	9727.47223777	0.988097953941	173.4333	4	-0.069	0.741	0	
0	100.800	142.095	5011.87233627	0.979039017448	172.3558	4	0.366	0.863	0	
0	6.496	148.570	1794.73362683	0.958517397686	171.2694	4	-0.899	0.766	0	
0	457.263	159.228	6680.36204679	0.958517397686	185.255	4	-1.238	2.177	0	
0	788.753	162.318	7092.51070556	0.98265258283	189.1785	4	-0.260	0.914	0	
0	752.358	165.357	2657.05167036	0.94710907947	177.7961	4	0.670	0.794	0	
0	1110.197	169.907	1617.3350558	0.954113410282	174.8047	4	-0.642	0.766	0	
0	799.211	181.530	2075.8692705	0.954113410282	202.3097	4	-1.001	0.913	0	
0	835.864	232.962	2635.11758986	0.856643255582	226.0963	4	-0.002	0.886	0	
0	20.408	192.379	9204.49571753	0.983558056227	176.1674	4	-0.370	1.045	0	
0	439.470	193.161	8717.66146602	0.974540741766	196.0971	4	-0.800	1.583	0	
0	448.786	201.886	2197.85987278	0.955872571885	196.3955	4	-0.230	0.897	0	
0	431.953	201.663	2091.22133016	0.948855326728	194.1188	4	-1.166	0.977	0	
0	69.955	201.888	1302.56678614	0.937562006926	176.2337	4	-1.263	0.882	0	
0	1152.395	203.047	6309.5734448	0.976337566583	182.6512	4	0.384	1.155	0	
0	471.575	203.445	9479.81801011	0.97543874044	185.5364	4	-0.636	1.436	0	
0	475.577	204.613	6148.93638513	0.962941712972	182.601	4	-0.621	1.333	0	
0	476.789	208.201	7627.81234069	0.966495864314	181.6166	4	-0.742	1.495	0	
0	461.453	206.259	1317.0431382	0.934975003089	194.0622	4	-0.871	0.749	0	
0	15.139	215.217	5576.99172376	0.969170083947	181.5081	4	-0.900	1.418	0	
0	63.760	217.690	8098.41447326	0.983558056227	182.2289	4	-0.104	0.845	0	
0	454.263	226.261	1485.93564229	0.906149802232	185.8717	4	-0.828	0.849	0	
0	451.267	226.755	8371.43674435	0.979039017448	185.698	4	-0.296	0.866	0	
0	33.472	236.579	2511.88643151	0.915377008362	181.4212	4	2.077	2.223	0	
0	835.846	249.491	6867.52106149	0.979039017448	193.2608	4	-0.434	1.013	0	
0	845.707	253.539	4073.80277804	0.966495864314	187.5376	4	-0.681	1.113	0	
0	100.669	258.924	1166.27240508	0.949729657362	180.6906	4	-0.445	0.613	0	
0	842.809	262.692	5561.60319598	0.977237220956	181.3882	4	0.527	0.931	0	
0	1295.031	266.986	1834.84760776	0.940156168804	180.4886	4	-1.098	1.155	0	
0	934.464	273.089	8287.05077907	0.983558056227	176.3841	4	0.019	0.962	0	
0	69.962	299.317	7406.27783668	0.974540741766	188.739	4	-0.697	1.430	0	
0	129.145	306.316	7461.05085193	0.98174794302	176.5939	4	-0.213	1.010	0	
0	119.257	308.894	8879.73489326	0.979039017448	185.5447	4	-0.606	1.213	0	
0	84.083	310.261	1214.50693772	0.941022483527	194.1978	4	0.005	0.723	0	
0	1335.008	318.322	3538.34356815	0.976337566583	175.2709	4	-0.414	0.728	0	
0	125.918	320.679	5937.45047302	0.978137704323	191.0947	4	-0.526	0.900	0	
0	970.634	323.733	1437.47400587	0.925550244763	208.4498	4	-1.644	1.095	0	
0	67.091	345.983	4409.60816451	0.953235043921	201.4108	4	-1.206	1.542	0	
0	96.853	342.320	1560.27086869	0.889610704409	205.1806	4	-1.232	1.043	0	
0	115.777	326.392	7040.4432147	0.974540741766	200.4989	4	-0.522	1.261	0	
0	649.983	329.690	5011.87233627	0.958517397686	179.5863	4	-1.101	1.800	0	
0	116.187	350.046	8410.07754069	0.977237220956	194.531	4	-0.650	1.386	0	
0	1336.894	350.980	6070.15806341	0.98446436398	175.9791	4	0.044	0.696	0	
0	1050.078	354.087	3515.60440528	0.958517397686	191.3478	4	0.876	1.295	0	
0	1237.440	355.730	6643.54681976	0.962941712972	199.9384	4	-0.915	1.887	0	
0	1316.846	356.399	7748.18532776	0.976337566583	181.3766	4	-0.489	1.319	0	
0	596.380	356.770	9011.5604434	0.987188301068	183.9921	4	-0.121	0.752	0	
0	1306.222	360.555	2744.10041826	0.969170083947	177.5594	4	-0.255	0.723	0	
0	1355.286	366.083	6245.97152533	0.969170083947	186.9169	4	-0.546	1.522	0	
0	1241.097	373.038	6982.32404077	0.969170083947	202.1689	4	-0.734	1.544	0	
0	1247.316	373.369	1334.1356829	0.946237161366	204.5861	4	-0.221	0.682	0	
0	1333.409	373.980	6280.58358813	0.963829023624	200.417	4	-0.941	1.735	0	
0	680.479	376.657	7943.28234724	0.98265258283	197.362	4	-0.251	0.961	0	
0	1311.243	377.610	4724.9802768	0.963829023624	199.9031	4	-0.843	1.443	0	
0	1231.160	380.209	6729.76656284	0.974540741766	202.7147	4	-0.412	1.203	0	
0	297.941	381.015	1583.43412391	0.950604793656	182.4852	4	-0.948	0.766	0	
0	1209.594	381.440	6137.62005165	0.972747223777	192.2768	4	-0.594	1.294	0	
0	641.209	385.796	7204.43620415	0.979039017448	197.3868	4	-0.518	1.073	0	
0	716.063	391.795	2800.27059501	0.956753368618	185.4306	4	0.354	0.683	0	
0	722.198	392.155	3369.76798584	0.926403100736	181.9169	4	-0.327	0.731	0	
0	728.060	427.797	2095.07705237	0.924698173938	204.1597	4	0.048	0.773	0	
0	727.267	424.842	3203.31760085	0.952357486192	230.543	4	0.149	0.699	0	
0	724.247	433.993	1503.83434796	0.947981801011	199.4247	4	0.062	0.724	0	
0	731.442	434.154	1933.7485453	0.950604793656	199.4078	4	-0.703	0.845	0	
0	706.236	394.315	2045.50243111	0.94710907947	192.9504	4	-1.117	0.911	0	
0	701.917	400.984	4520.64079649	0.966495864314	207.8092	4	-0.480	1.102	0	
0	696.695	399.060	5166.54242567	0.977237220956	213.1084	4	-0.063	0.842	0	
0	1235.983	394.375	1037.52841582	0.934114255736	181.0279	4	-0.118	0.705	0	
0	676.318	395.051	8332.97348634	0.977237220956	210.3996	4	-0.611	1.339	0	
0	314.582	397.723	7138.38553602	0.967386449969	196.2373	4	-0.929	1.737	0	
0	656.132	403.606	7474.80728176	0.94710907947	207.722	4	-0.665	1.423	0	
0	651.068	408.558	5440.01378247	0.970063133784	198.5179	4	-0.686	1.168	0	
0	618.682	402.974	3677.90070422	0.970957006529	183.5663	4	-0.622	0.945	0	
